"year","week","name","value","region"
2023,19,"reports",59,"北九州市"
2023,19,"per_sentinel",1.69,"北九州市"
2023,20,"reports",102,"北九州市"
2023,20,"per_sentinel",2.91,"北九州市"
2023,21,"reports",91,"北九州市"
2023,21,"per_sentinel",2.6,"北九州市"
2023,22,"reports",112,"北九州市"
2023,22,"per_sentinel",3.2,"北九州市"
2023,23,"reports",128,"北九州市"
2023,23,"per_sentinel",3.66,"北九州市"
2023,19,"reports",20,"久留米市"
2023,19,"per_sentinel",1.82,"久留米市"
2023,20,"reports",18,"久留米市"
2023,20,"per_sentinel",1.64,"久留米市"
2023,21,"reports",27,"久留米市"
2023,21,"per_sentinel",2.45,"久留米市"
2023,22,"reports",9,"久留米市"
2023,22,"per_sentinel",0.82,"久留米市"
2023,23,"reports",43,"久留米市"
2023,23,"per_sentinel",3.91,"久留米市"
2023,19,"reports",40,"宗像・遠賀"
2023,19,"per_sentinel",3.33,"宗像・遠賀"
2023,20,"reports",28,"宗像・遠賀"
2023,20,"per_sentinel",2.33,"宗像・遠賀"
2023,21,"reports",51,"宗像・遠賀"
2023,21,"per_sentinel",4.25,"宗像・遠賀"
2023,22,"reports",69,"宗像・遠賀"
2023,22,"per_sentinel",5.75,"宗像・遠賀"
2023,23,"reports",74,"宗像・遠賀"
2023,23,"per_sentinel",6.17,"宗像・遠賀"
2023,19,"reports",34,"粕屋"
2023,19,"per_sentinel",2.83,"粕屋"
2023,20,"reports",38,"粕屋"
2023,20,"per_sentinel",3.17,"粕屋"
2023,21,"reports",32,"粕屋"
2023,21,"per_sentinel",2.67,"粕屋"
2023,22,"reports",39,"粕屋"
2023,22,"per_sentinel",3.25,"粕屋"
2023,23,"reports",78,"粕屋"
2023,23,"per_sentinel",6.5,"粕屋"
2023,19,"reports",34,"筑紫"
2023,19,"per_sentinel",2.13,"筑紫"
2023,20,"reports",66,"筑紫"
2023,20,"per_sentinel",4.13,"筑紫"
2023,21,"reports",78,"筑紫"
2023,21,"per_sentinel",4.88,"筑紫"
2023,22,"reports",74,"筑紫"
2023,22,"per_sentinel",4.63,"筑紫"
2023,23,"reports",117,"筑紫"
2023,23,"per_sentinel",7.31,"筑紫"
2023,19,"reports",12,"糸島"
2023,19,"per_sentinel",2,"糸島"
2023,20,"reports",12,"糸島"
2023,20,"per_sentinel",2,"糸島"
2023,21,"reports",28,"糸島"
2023,21,"per_sentinel",4.67,"糸島"
2023,22,"reports",28,"糸島"
2023,22,"per_sentinel",4.67,"糸島"
2023,23,"reports",48,"糸島"
2023,23,"per_sentinel",8,"糸島"
2023,19,"reports",16,"田川"
2023,19,"per_sentinel",2.29,"田川"
2023,20,"reports",11,"田川"
2023,20,"per_sentinel",1.57,"田川"
2023,21,"reports",13,"田川"
2023,21,"per_sentinel",1.86,"田川"
2023,22,"reports",11,"田川"
2023,22,"per_sentinel",1.57,"田川"
2023,23,"reports",13,"田川"
2023,23,"per_sentinel",1.86,"田川"
2023,19,"reports",18,"北筑後"
2023,19,"per_sentinel",2.25,"北筑後"
2023,20,"reports",33,"北筑後"
2023,20,"per_sentinel",4.13,"北筑後"
2023,21,"reports",32,"北筑後"
2023,21,"per_sentinel",4,"北筑後"
2023,22,"reports",36,"北筑後"
2023,22,"per_sentinel",4.5,"北筑後"
2023,23,"reports",72,"北筑後"
2023,23,"per_sentinel",9,"北筑後"
2023,19,"reports",39,"南筑後"
2023,19,"per_sentinel",1.95,"南筑後"
2023,20,"reports",32,"南筑後"
2023,20,"per_sentinel",1.6,"南筑後"
2023,21,"reports",14,"南筑後"
2023,21,"per_sentinel",0.7,"南筑後"
2023,22,"reports",54,"南筑後"
2023,22,"per_sentinel",2.7,"南筑後"
2023,23,"reports",64,"南筑後"
2023,23,"per_sentinel",3.2,"南筑後"
2023,19,"reports",36,"京築"
2023,19,"per_sentinel",4.5,"京築"
2023,20,"reports",22,"京築"
2023,20,"per_sentinel",2.75,"京築"
2023,21,"reports",20,"京築"
2023,21,"per_sentinel",2.5,"京築"
2023,22,"reports",25,"京築"
2023,22,"per_sentinel",3.13,"京築"
2023,23,"reports",28,"京築"
2023,23,"per_sentinel",3.5,"京築"
2023,19,"reports",13,"嘉穂・鞍手"
2023,19,"per_sentinel",1.08,"嘉穂・鞍手"
2023,20,"reports",18,"嘉穂・鞍手"
2023,20,"per_sentinel",1.5,"嘉穂・鞍手"
2023,21,"reports",29,"嘉穂・鞍手"
2023,21,"per_sentinel",2.42,"嘉穂・鞍手"
2023,22,"reports",40,"嘉穂・鞍手"
2023,22,"per_sentinel",3.33,"嘉穂・鞍手"
2023,23,"reports",37,"嘉穂・鞍手"
2023,23,"per_sentinel",3.08,"嘉穂・鞍手"
2023,24,"reports",1173,"福岡県"
2023,24,"per_sentinel",5.92,"福岡県"
2023,24,"reports",33,"福岡市中央区"
2023,24,"per_sentinel",5.5,"福岡市中央区"
2023,24,"reports",52,"福岡市博多区"
2023,24,"per_sentinel",7.43,"福岡市博多区"
2023,24,"reports",63,"福岡市南区"
2023,24,"per_sentinel",7,"福岡市南区"
2023,24,"reports",117,"福岡市早良区"
2023,24,"per_sentinel",14.63,"福岡市早良区"
2023,24,"reports",63,"福岡市東区"
2023,24,"per_sentinel",7,"福岡市東区"
2023,24,"reports",35,"福岡市西区"
2023,24,"per_sentinel",5,"福岡市西区"
2023,24,"reports",37,"福岡市城南区"
2023,24,"per_sentinel",7.4,"福岡市城南区"
2023,24,"reports",191,"北九州市"
2023,24,"per_sentinel",5.46,"北九州市"
2023,24,"reports",39,"久留米市"
2023,24,"per_sentinel",3.55,"久留米市"
2023,24,"reports",87,"宗像・遠賀"
2023,24,"per_sentinel",7.25,"宗像・遠賀"
2023,24,"reports",86,"粕屋"
2023,24,"per_sentinel",7.17,"粕屋"
2023,24,"reports",115,"筑紫"
2023,24,"per_sentinel",7.19,"筑紫"
2023,24,"reports",32,"糸島"
2023,24,"per_sentinel",5.33,"糸島"
2023,24,"reports",12,"田川"
2023,24,"per_sentinel",1.71,"田川"
2023,24,"reports",42,"北筑後"
2023,24,"per_sentinel",5.25,"北筑後"
2023,24,"reports",95,"南筑後"
2023,24,"per_sentinel",4.75,"南筑後"
2023,24,"reports",41,"京築"
2023,24,"per_sentinel",5.13,"京築"
2023,24,"reports",33,"嘉穂・鞍手"
2023,24,"per_sentinel",2.75,"嘉穂・鞍手"
2023,25,"reports",1141,"福岡県"
