year,week,city,value
2020,25,北九州市消防局,2
2020,26,北九州市消防局,2
2020,27,北九州市消防局,0
2020,28,北九州市消防局,3
2020,29,北九州市消防局,0
2020,30,北九州市消防局,5
2020,31,北九州市消防局,9
2020,32,北九州市消防局,9
2020,33,北九州市消防局,5
2020,34,北九州市消防局,3
2020,35,北九州市消防局,6
2020,36,北九州市消防局,1
2020,37,北九州市消防局,1
2020,38,北九州市消防局,6
2020,39,北九州市消防局,4
2020,40,北九州市消防局,1
2020,41,北九州市消防局,2
2020,42,北九州市消防局,1
2020,43,北九州市消防局,1
2020,44,北九州市消防局,3
2020,45,北九州市消防局,1
2020,46,北九州市消防局,2
2020,47,北九州市消防局,1
2020,48,北九州市消防局,4
2020,49,北九州市消防局,4
2020,50,北九州市消防局,5
2020,51,北九州市消防局,2
2020,52,北九州市消防局,5
2021,1,北九州市消防局,5
2021,2,北九州市消防局,12
2021,3,北九州市消防局,8
2021,4,北九州市消防局,8
2021,5,北九州市消防局,4
2021,6,北九州市消防局,5
2021,7,北九州市消防局,20
2021,8,北九州市消防局,6
2021,9,北九州市消防局,2
2021,10,北九州市消防局,5
2021,11,北九州市消防局,2
2021,12,北九州市消防局,3
2021,13,北九州市消防局,2
2021,14,北九州市消防局,2
2021,15,北九州市消防局,3
2021,16,北九州市消防局,3
2021,17,北九州市消防局,3
2021,18,北九州市消防局,6
2021,19,北九州市消防局,9
2021,20,北九州市消防局,11
2021,21,北九州市消防局,4
2021,22,北九州市消防局,4
2021,23,北九州市消防局,4
2021,24,北九州市消防局,1
2021,25,北九州市消防局,2
2021,26,北九州市消防局,2
2021,27,北九州市消防局,3
2021,28,北九州市消防局,3
2021,29,北九州市消防局,7
2021,30,北九州市消防局,7
2021,31,北九州市消防局,9
2021,32,北九州市消防局,11
2021,33,北九州市消防局,5
2021,34,北九州市消防局,7
2021,35,北九州市消防局,5
2021,36,北九州市消防局,3
2021,37,北九州市消防局,7
2021,38,北九州市消防局,2
2021,39,北九州市消防局,2
2021,40,北九州市消防局,6
2021,41,北九州市消防局,2
2021,42,北九州市消防局,2
2021,43,北九州市消防局,2
2021,44,北九州市消防局,2
2021,45,北九州市消防局,6
2021,46,北九州市消防局,1
2021,47,北九州市消防局,5
2021,48,北九州市消防局,5
2021,49,北九州市消防局,4
2021,50,北九州市消防局,4
2021,51,北九州市消防局,5
2021,52,北九州市消防局,4
2022,1,北九州市消防局,4
2022,2,北九州市消防局,13
2022,3,北九州市消防局,32
2022,4,北九州市消防局,24
2022,5,北九州市消防局,29
2022,6,北九州市消防局,95
2022,7,北九州市消防局,129
2022,8,北九州市消防局,73
2022,9,北九州市消防局,26
2022,10,北九州市消防局,14
2022,11,北九州市消防局,9
2022,12,北九州市消防局,7
2022,13,北九州市消防局,9
2022,14,北九州市消防局,10
2022,15,北九州市消防局,12
2022,16,北九州市消防局,6
2022,17,北九州市消防局,8
2022,18,北九州市消防局,8
2022,19,北九州市消防局,7
2022,20,北九州市消防局,9
2022,21,北九州市消防局,10
2022,22,北九州市消防局,4
2022,23,北九州市消防局,6
2022,24,北九州市消防局,10
2022,25,北九州市消防局,5
2022,26,北九州市消防局,1
2022,27,北九州市消防局,8
2022,28,北九州市消防局,13
2022,29,北九州市消防局,46
2022,30,北九州市消防局,71
2022,31,北九州市消防局,58
2022,32,北九州市消防局,68
2022,33,北九州市消防局,73
2022,34,北九州市消防局,41
2022,35,北九州市消防局,41
2022,36,北九州市消防局,25
2022,37,北九州市消防局,16
2022,38,北九州市消防局,8
2022,39,北九州市消防局,8
2022,40,北九州市消防局,8
2022,41,北九州市消防局,7
2022,42,北九州市消防局,12
2022,43,北九州市消防局,4
2022,44,北九州市消防局,18
2022,45,北九州市消防局,6
2022,46,北九州市消防局,11
2022,47,北九州市消防局,15
2022,48,北九州市消防局,17
2022,49,北九州市消防局,20
2022,50,北九州市消防局,58
2022,51,北九州市消防局,103
2022,52,北九州市消防局,75
2023,1,北九州市消防局,159
2023,2,北九州市消防局,160
2023,3,北九州市消防局,63
2023,4,北九州市消防局,62
2023,5,北九州市消防局,30
2023,6,北九州市消防局,27
2023,7,北九州市消防局,40
2023,8,北九州市消防局,25
2023,9,北九州市消防局,12
2023,10,北九州市消防局,16
2023,11,北九州市消防局,27
2023,12,北九州市消防局,16
2023,13,北九州市消防局,11
2023,14,北九州市消防局,4
2023,15,北九州市消防局,8
2023,16,北九州市消防局,15
2023,17,北九州市消防局,5
2023,18,北九州市消防局,12
2023,19,北九州市消防局,3
2023,20,北九州市消防局,3
2023,21,北九州市消防局,3
2023,22,北九州市消防局,5
2023,23,北九州市消防局,7
2023,24,北九州市消防局,5
2023,25,北九州市消防局,5
2023,26,北九州市消防局,7
2023,27,北九州市消防局,9
2023,28,北九州市消防局,13
2023,29,北九州市消防局,23
2023,30,北九州市消防局,35
